landmark,latitude,longitude
Point Richmond Historic District,37.9256,-122.3826
Miller/Knox Regional Shoreline,37.9144,-122.3860
Marina Bay Park,37.9194,-122.3488
Harbour Way South,37.9271,-122.3592
Cutting Boulevard & Harbour Way,37.9250,-122.3607
Richmond Ferry Terminal,37.9104,-122.3510
Nicholl Park,37.9380,-122.3440
Richmond Parkway Corridor,37.9550,-122.3660
